address,suburb,price,bedrooms,bathrooms,garage,landarea,floorarea,buildarea,neareststn,neareststndist,postcode,nearestsch,nearestschdist,nearestschrnk
138 Paterson Street,Mundijong,205000,4,2,NULL,17996,182,1975,Armadale Station,14600,6123,COURT GRAMMAR SCHOOL,1.580011018,
138 Phoenix Road,Hamilton Hill,402000,4,2,2,820,135,1980,Murdoch Station,6300,6163,PORT SCHOOL,1.710392454,
138 Queens Road,South Guildford,650000,3,1,4,1114,164,1904,Guildford Station,1100,6055,GUILDFORD GRAMMAR SCHOOL,1.961436448,52
138 Rothesay Heights,Mindarie,586000,4,2,2,674,209,NULL,Clarkson Station,2900,6030,MINDARIE SENIOR COLLEGE,0.655979601,111
138 Sixth Avenue,Inglewood,740000,3,1,2,781,133,1938,Mount Lawley Station,1300,6052,PERTH COLLEGE,1.088368235,9
138 Swan Street,Guildford,1235000,4,3,2,1653,225,1870,Guildford Station,453,6055,GUILDFORD GRAMMAR SCHOOL,1.188479802,52
138 Trappers Drive,Woodvale,586000,3,2,NULL,703,130,NULL,Whitfords Station,1700,6026,WOODVALE SECONDARY COLLEGE,1.443949156,77
138 Union Road,Carmel,800000,3,2,2,4046,242,1972,Madding,12200,6076,CARMEL ADVENTIST COLLEGE,1.031289825,
138 Vines Avenue,The Vines,700000,3,2,2,4019,204,1991,Midland Station,14400,6069,HOLY CROSS COLLEGE,2.911571476,98
138 Wollaston Avenue,Haynes,1200000,3,1,2,25879,156,1970,Armadale Station,3600,6112,DALE CHRISTIAN SCHOOL,2.221879312,
1381 Rowley Road,Hilbert,65000,4,2,2,701,293,2013,Armadale Station,3800,6112,DALE CHRISTIAN SCHOOL,2.484999414,
1385 Warrigal Way,Chidlow,520000,3,1,4,15833,89,NULL,Midland Station,28900,6556,EASTERN HILLS SENIOR HIGH SCHOOL,9.074339533,105
138a Brompton Road,Wembley Downs,1100000,3,2,2,479,201,2005,Glendalough Station,5400,6019,HALE SCHOOL,1.845305062,6
138A Odin Road,Innaloo,440000,3,1,1,405,110,1995,Stirling Station,923,6018,BALCATTA SENIOR HIGH SCHOOL,1.934059865,135
139 Ardross Street,Ardross,1820000,4,1,3,774,325,2016,Canning Bridge Station,1900,6153,APPLECROSS SENIOR HIGH SCHOOL,1.124778615,34
139 Beenyup Road,Atwell,350000,3,2,2,373,133,2004,Cockburn Central Station,3000,6164,ATWELL COLLEGE,0.854370169,129
139 Brennan Rise,Gidgegannup,100000,4,2,2,24485,219,1995,Midland Station,26900,6083,EASTERN HILLS SENIOR HIGH SCHOOL,13.32315278,105
139 Bushmead Road,Hazelmere,487500,3,1,2,2028,133,1959,Woodbridge Station,926,6055,GUILDFORD GRAMMAR SCHOOL,1.250029042,52
139 Carmel Road,Carmel,165000,2,1,NULL,8578,380,1920,Madding,10600,6076,CARMEL ADVENTIST COLLEGE,0.634147258,
139 Daglish Street,Wembley,890000,3,1,NULL,619,158,1951,Glendalough Station,1800,6014,BOLD PARK COMMUNITY SCHOOL,0.822431638,
139 Edgewater Drive,Edgewater,920000,4,2,2,702,299,2014,Edgewater Station,1400,6027,MATER DEI COLLEGE,1.142690948,104
139 Egina Street,Mount Hawthorn,1100000,3,2,3,491,160,1928,Glendalough Station,894,6016,BOLD PARK COMMUNITY SCHOOL,1.09234185,
139 Fifth Avenue,Mount Lawley,705000,3,2,2,337,163,1996,Mount Lawley Station,1500,6050,MOUNT LAWLEY SENIOR HIGH SCHOOL,0.611441041,20
139 Harpenden Street,Huntingdale,430000,6,3,6,655,157,2003,Thornlie Station,4000,6110,THORNLIE SENIOR HIGH SCHOOL,1.880028824,125
139 Lakeside Drive,Helena Valley,652000,4,2,2,1033,227,2000,Midland Station,4200,6056,SWAN VIEW SENIOR HIGH SCHOOL,3.221977446,
139 Manchester Drive,Hocking,550000,4,2,2,601,197,2005,Edgewater Station,4100,6065,ALTA-1,1.513878467,
139 Milina Street,Hillman,282500,3,1,1,740,106,1974,Rockingham Station,896,6168,KOLBE CATHOLIC COLLEGE,1.484771777,97
139 Railway Parade,Upper Swan,555000,4,2,2,2023,241,NULL,Midland Station,14200,6069,HOLY CROSS COLLEGE,4.86414454,98
139 Reservoir Road,Orange Grove,154000,3,2,NULL,18540,232,1999,Madding,3700,6109,LUMEN CHRISTI COLLEGE,3.3455896,122
139 Weir Road,Baskerville,1000000,5,3,2,40460,429,NULL,Midland Station,12200,6056,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,8.201738258,53
1395 Gill Street,Parkerville,670000,5,2,4,20120,161,2010,Midland Station,14600,6081,MUNDARING CHRISTIAN COLLEGE,2.415748488,
139A Grand Promenade,Doubleview,650000,3,1,2,300,120,NULL,Stirling Station,2800,6018,INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA,1.143326902,
139a Salisbury Street,Bedford,747500,3,2,2,493,202,1999,Maylands Station,1800,6052,CHISHOLM CATHOLIC COLLEGE,1.376400401,29
139B Drummond Street,Bedford,540000,4,2,3,342,147,2005,Maylands Station,2400,6052,JOHN FORREST SECONDARY COLLEGE,1.575011787,74
13A Bell Court,Morley,380000,3,1,4,500,130,1987,Ashfield Station,3100,6062,HAMPTON SENIOR HIGH SCHOOL,0.596230001,117
13A Bowkett Street,Redcliffe,470000,3,2,2,545,180,NULL,Bassendean Station,4900,6104,BELMONT CITY COLLEGE,1.859614702,57
13A Craigie Crescent,Manning,640000,3,1,2,440,128,1991,Canning Bridge Station,1200,6152,AQUINAS COLLEGE,0.89931001,23
13A Dunvegan Road,Applecross,1875000,4,2,2,833,248,1992,Canning Bridge Station,1300,6153,APPLECROSS SENIOR HIGH SCHOOL,2.509139933,34
13A Forward Street,Manning,642000,2,1,2,438,103,1992,Canning Bridge Station,1500,6152,COMO SECONDARY COLLEGE,0.437883147,87
13a Fulton Street,Hamilton Hill,581000,4,1,2,792,153,1974,Fremantle Station,5000,6163,SETON CATHOLIC COLLEGE,0.841399558,91
13A Hickey Street,Ardross,1475000,4,3,2,504,313,2000,Canning Bridge Station,3200,6153,APPLECROSS SENIOR HIGH SCHOOL,0.622472689,34
13A Joyce Street,Scarborough,885000,3,2,3,360,143,2000,Stirling Station,3900,6019,ST MARY'S ANGLICAN GIRLS' SCHOOL,1.549901211,7
13A Knight Street,Wembley Downs,1325000,4,3,2,646,273,2006,Glendalough Station,4800,6019,NEWMAN COLLEGE,1.406918967,44
13A Langdale Street,Wembley Downs,980000,3,2,2,534,171,1994,Glendalough Station,5400,6019,HALE SCHOOL,1.857254812,6
13A Opal Place,Riverton,456000,3,1,1,122,96,1977,Welshpool Station,4400,6148,CLONTARF ABORIGINAL COLLEGE,1.630494135,
13a Rhone Place,Beechboro,290000,3,1,2,1014,103,1989,Ashfield Station,4900,6063,KIARA COLLEGE,1.256561353,
13A Scandrett Way,Bateman,537000,3,1,1,507,105,1982,Murdoch Station,579,6150,CORPUS CHRISTI COLLEGE,0.729905533,28
13A Stanton Road,Redcliffe,595000,4,2,4,730,229,2013,Ashfield Station,3200,6104,BELMONT CITY COLLEGE,2.043576326,57
13A Valley Road,Wembley Downs,605000,2,1,1,522,138,1979,Glendalough Station,5000,6019,HALE SCHOOL,1.33853016,6
13A Wardle Road,Beaconsfield,800000,3,2,2,350,174,2014,Fremantle Station,3400,6162,FREMANTLE COLLEGE,0.703689211,128
13A Warner Road,Parmelia,343000,4,2,2,1002,163,2011,Kwinana Station,1400,6167,GILMORE COLLEGE,1.495354855,138
13A Watkins Street,Eden Hill,480000,3,2,2,366,158,2015,Success Hill Station,1200,6054,KIARA COLLEGE,2.284453826,
13A Weld Road,Palmyra,620000,4,2,2,557,161,1997,North Fremantle Station,3500,6157,MELVILLE SENIOR HIGH SCHOOL,1.88473655,61
13A Willow Place,Beechboro,335000,3,1,3,419,119,1991,Bayswater Station,5400,6063,KIARA COLLEGE,1.813151948,
13B Bruce Street,North Fremantle,785000,3,2,1,172,156,2000,North Fremantle Station,990,6159,JOHN CURTIN COLLEGE OF THE ARTS,1.226097934,25
13B Cobden Street,Bayswater,505000,3,2,1,385,106,2010,Bayswater Station,721,6053,CHISHOLM CATHOLIC COLLEGE,2.060979851,29
13B Forward Street,Manning,612500,3,1,2,473,125,1959,Canning Bridge Station,1500,6152,COMO SECONDARY COLLEGE,0.437883147,87
13b Hendy Green,Murdoch,517000,3,1,2,430,145,NULL,Murdoch Station,1900,6150,CORPUS CHRISTI COLLEGE,1.086798399,28
13B Hutchings Way,Kardinya,490000,3,1,2,409,132,1970,Murdoch Station,2800,6163,NORTH LAKE SENIOR CAMPUS,1.064213368,
13b Jubilee Street,Beckenham,445000,3,2,2,537,134,NULL,Beckenham Station,945,6107,SEVENOAKS SENIOR COLLEGE,1.737626919,114
13B KENDAL WAY,Greenwood,323000,2,1,1,538,88,NULL,Warwick Station,2600,6024,THE MONTESSORI SCHOOL,1.50563202,
13b Kurda Road,Westminster,320000,3,2,2,237,165,2011,Stirling Station,3700,6061,BALCATTA SENIOR HIGH SCHOOL,2.082549844,135
13b Lang Street,Brentwood,570000,3,2,1,679,118,1995,Bull Creek Station,813,6153,CORPUS CHRISTI COLLEGE,1.422291804,28
13B Scandrett Way,Bateman,540000,3,1,2,1012,105,1981,Murdoch Station,595,6150,CORPUS CHRISTI COLLEGE,0.729905533,28
13B Simper Crescent,White Gum Valley,790000,3,2,2,3153,302,NULL,Fremantle Station,2200,6162,FREMANTLE COLLEGE,0.659201208,128
13D Cobham Avenue,Nollamara,379000,3,2,2,244,108,2008,Stirling Station,4400,6061,DIANELLA SECONDARY COLLEGE,0.815624314,
13D Halley Street,Innaloo,649888,3,2,2,223,182,2012,Stirling Station,1900,6018,INTERNATIONAL SCHOOL OF WESTERN AUSTRALIA,1.986512709,
13D Tyler Street,Joondanna,517000,4,2,2,263,140,2000,Glendalough Station,725,6060,SERVITE COLLEGE,1.180144261,65
14 Abbey Court,Cockburn Central,535000,4,2,3,561,152,2000,Cockburn Central Station,1100,6164,EMMANUEL CATHOLIC COLLEGE,0.644995904,58
14 Adagio Way,Bullsbrook,435000,4,2,2,631,185,2012,Midland Station,26000,6084,HOLY CROSS COLLEGE,14.17142196,98
14 Adamson Road,Brentwood,679000,3,2,2,356,130,2001,Bull Creek Station,500,6153,CORPUS CHRISTI COLLEGE,1.643867236,28
14 Adler Street,Ashby,545000,4,2,2,582,215,2003,Joondalup Station,2800,6065,LAKE JOONDALUP BAPTIST COLLEGE,3.124790362,80
14 Ainsley Court,Camillo,360000,4,2,1,688,162,NULL,Challis Station,1800,6111,KELMSCOTT SENIOR HIGH SCHOOL,1.530530041,113
14 Akera Close,Hillarys,929000,4,2,2,662,247,1996,Greenwood Station,3800,6025,ST MARK'S ANGLICAN COMMUNITY SCHOOL,1.350997027,58
14 Albyn Place,Hamersley,655000,4,2,2,736,179,1980,Warwick Station,833,6022,WARWICK SENIOR HIGH SCHOOL,1.606463383,
14 Alice Road,Port Kennedy,380000,5,2,2,580,214,2003,Warnbro Station,3100,6172,WARNBRO COMMUNITY HIGH SCHOOL,1.108156492,
14 Alicia Gardens,Ballajura,323000,3,1,1,726,185,NULL,Greenwood Station,9300,6066,LANDSDALE CHRISTIAN SCHOOL,2.246846541,
14 Alizarin Loop,Eglinton,258500,4,1,NULL,450,196,2015,Butler Station,5200,6034,YANCHEP SECONDARY COLLEGE,5.459510779,
14 Allamanda Way,Forrestfield,310000,3,2,2,700,145,1976,Madding,7800,6058,HILLSIDE CHRISTIAN COLLEGE,0.80795065,
14 Allwood Avenue,Hilbert,760000,4,2,8,2907,217,1999,Armadale Station,3600,6112,DALE CHRISTIAN SCHOOL,2.38555272,
14 Alps Street,Mount Helena,432500,3,1,2,1800,134,1982,Midland Station,20200,6082,EASTERN HILLS SENIOR HIGH SCHOOL,1.505101873,105
14 Alyth Road,Floreat,1410500,4,3,2,1004,306,1957,Loch Street Station,4600,6014,NEWMAN COLLEGE,0.876449542,44
14 Ameer Way,Beeliar,530000,4,2,2,501,252,2014,Cockburn Central Station,4900,6164,DIVINE MERCY COLLEGE,1.905718891,
14 Amos Loop,Canning Vale,535000,4,2,2,552,182,2000,Thornlie Station,3900,6155,CANNING VALE COLLEGE,0.926552292,68
14 Amy Loop,Craigie,465000,3,1,2,718,171,1987,Edgewater Station,835,6025,BELRIDGE SECONDARY COLLEGE,1.359668234,102
14 Angelica Way,Atwell,465000,3,2,3,288,133,2009,Cockburn Central Station,3000,6164,ATWELL COLLEGE,1.034877401,129
14 Ardross Crescent,Menora,1450000,4,2,2,1031,281,1998,Perth Station,3600,6050,MOUNT LAWLEY SENIOR HIGH SCHOOL,1.22069784,20
14 Armadale Road,Rivervale,760000,4,2,2,684,225,1995,Burswood Station,1000,6103,ST CLARE'S SCHOOL,1.687830357,
14 Artane Court,Waterford,1220000,4,2,2,1103,264,1986,Canning Bridge Station,2700,6152,CLONTARF ABORIGINAL COLLEGE,0.891711393,
14 Arthur Road,Gooseberry Hill,655000,3,2,1,1012,159,1975,Midland Station,8000,6076,KALAMUNDA SENIOR HIGH SCHOOL,3.298264782,107
14 Arundale Crescent,Wembley Downs,1600000,5,3,2,809,226,1965,Stirling Station,3300,6019,HALE SCHOOL,0.779529575,6
14 Ashford Road,High Wycombe,510000,4,2,2,551,224,2008,Midland Station,5000,6057,DARLING RANGE SPORTS COLLEGE,4.469914561,137
14 Ashmore Avenue,Two Rocks,550000,4,2,2,507,213,2015,Butler Station,17100,6037,YANCHEP SECONDARY COLLEGE,6.485401401,
14 Aston Court,Carine,1000000,5,2,2,717,223,1976,Warwick Station,2100,6020,CARINE SENIOR HIGH SCHOOL,0.286931176,47
14 Atlantic Avenue,Iluka,710000,4,2,2,602,276,2004,Currambine Station,2000,6028,PRENDIVILLE CATHOLIC COLLEGE,2.884393434,60
14 Auranzau Court,Stratton,300000,3,1,1,471,104,1994,Midland Station,4600,6056,SWAN CHRISTIAN COLLEGE,2.534409634,93
14 AVIEMORE Green,Canning Vale,465000,3,2,2,495,183,2001,Murdoch Station,5900,6155,CANNING VALE COLLEGE,1.718542491,68
14 Avon Crescent,Atwell,534000,4,2,2,682,240,2000,Cockburn Central Station,2000,6164,ATWELL COLLEGE,0.263552026,129
14 Aylesbury Close,Jandakot,663000,4,2,2,627,200,1996,Cockburn Central Station,2200,6164,LAKELAND SENIOR HIGH SCHOOL,0.743331493,
14 Ballak Place,Oakford,805000,4,2,3,20490,191,2005,Armadale Station,7100,6121,BYFORD SECONDARY COLLEGE,3.79215241,116
14 Bamboore Crescent,Wanneroo,390000,3,2,1,801,145,NULL,Joondalup Station,4000,6065,WANNEROO SECONDARY COLLEGE,0.90267567,131
14 Bancoura Parkway,Secret Harbour,850000,4,2,2,735,270,2009,Warnbro Station,9700,6173,COMET BAY COLLEGE,1.233575886,35
14 Band Street,Lathlain,765000,2,1,3,700,148,1955,Vic,1000,6100,ST CLARE'S SCHOOL,0.474693926,
14 Banfield Grove,Clarkson,230000,3,1,4,665,132,1993,Clarkson Station,2700,6030,QUINNS BAPTIST COLLEGE,0.623450815,118
14 BARANG CIRCUIT,Karawara,878000,4,2,2,580,269,2000,Canning Bridge Station,2700,6152,CLONTARF ABORIGINAL COLLEGE,1.131812337,
14 Barblett Way,Kardinya,710000,4,2,2,814,165,1984,Murdoch Station,3400,6163,NORTH LAKE SENIOR CAMPUS,1.046552225,
14 Bardeen Pass,Carramar,630000,4,3,2,603,250,2010,Currambine Station,4800,6031,JOSEPH BANKS SECONDARY COLLEGE,1.031479122,92
14 Barwon Heads Terrace,Connolly,675000,4,2,2,872,236,NULL,Joondalup Station,2500,6027,PRENDIVILLE CATHOLIC COLLEGE,0.375660322,60
14 Basico Avenue,Sinagra,408000,4,2,2,612,168,2006,Joondalup Station,3700,6065,WANNEROO SECONDARY COLLEGE,2.459987186,131
14 Batt Drive,Brookdale,355000,4,2,2,520,129,NULL,Armadale Station,1700,6112,ARMADALE SENIOR HIGH SCHOOL,1.06623335,
14 Battams Way,Byford,360000,4,2,2,390,173,2013,Armadale Station,8600,6122,BYFORD SECONDARY COLLEGE,1.460792045,116
14 Baumea Turn,Hammond Park,590000,4,2,2,561,240,2010,Cockburn Central Station,4700,6164,ATWELL COLLEGE,2.812036862,129
14 Bay Road,Claremont,1750000,5,3,2,669,218,1903,Claremont Station,817,6010,CHRIST CHURCH GRAMMAR SCHOOL,1.272637009,3
14 Bazille Crescent,Tapping,655000,4,2,2,618,346,2006,Joondalup Station,3500,6065,JOSEPH BANKS SECONDARY COLLEGE,3.147244972,92
14 Beach Road,Coogee,700000,3,2,2,701,143,1976,Fremantle Station,7000,6166,PORT SCHOOL,3.407449786,
14 Beckley Circle,Leeming,870000,4,2,5,781,261,1988,Murdoch Station,377,6149,LEEMING SENIOR HIGH SCHOOL,0.702922572,89
14 Beech Road,Kingsley,560000,4,2,2,688,162,1985,Greenwood Station,1300,6026,GREENWOOD COLLEGE,0.951080609,86
14 Begonia Close,Yangebup,440000,3,1,2,729,97,1988,Cockburn Central Station,5100,6164,DIVINE MERCY COLLEGE,1.990940041,
14 Belfry Way,Wattle Grove,527000,4,2,3,509,188,2011,Madding,5100,6107,HERITAGE COLLEGE PERTH,3.37243463,
14 Bellanger Drive,Beldon,520000,4,2,2,453,150,2008,Edgewater Station,547,6027,BELRIDGE SECONDARY COLLEGE,1.157598383,102
14 Bencubbin Crescent,Dianella,925000,4,2,3,616,246,NULL,Mount Lawley Station,7500,6059,ST ANDREW'S GRAMMAR,0.574712969,
14 Bendee Drive,Atwell,565000,4,2,2,530,224,2003,Cockburn Central Station,2600,6164,ATWELL COLLEGE,0.540284389,129
14 Berlotto Drive,Ashby,545000,4,2,2,606,256,2005,Joondalup Station,3400,6065,JOSEPH BANKS SECONDARY COLLEGE,3.388882761,92
14 Bernborough Way,Darling Downs,850000,4,2,2,19307,225,1980,Armadale Station,4100,6122,DALE CHRISTIAN SCHOOL,2.880892128,
14 Bernier Road,Shelley,1128000,4,2,2,699,238,1996,Bull Creek Station,2600,6148,ROSSMOYNE SENIOR HIGH SCHOOL,1.476777139,16
14 Bibanup Court,Hillman,240000,3,1,1,799,125,1974,Rockingham Station,732,6168,KOLBE CATHOLIC COLLEGE,0.677771497,97
14 Birdwood Road,Melville,950000,5,2,3,969,265,1955,North Fremantle Station,4700,6156,MELVILLE SENIOR HIGH SCHOOL,1.35381853,61
14 Bitton Street,Hamilton Hill,459000,3,1,NULL,693,88,1960,Fremantle Station,5000,6163,PORT SCHOOL,0.7821763,
14 Blackboy Rise,Parmelia,340000,4,2,1,753,133,1993,Wellard Station,970,6167,PETER CARNLEY ANGLICAN COMMUNITY SCHOOL,0.908760872,
14 Blossom Chase,Aubin Grove,575000,4,2,2,455,218,2012,Cockburn Central Station,3900,6164,ATWELL COLLEGE,1.781790775,129
14 Boambee Street,Burns Beach,720000,4,2,2,539,221,2015,Currambine Station,2600,6028,YOUTH FUTURES COMMUNITY SCHOOL,3.438994122,
14 Bodallin Crescent,Southern River,440000,4,2,2,596,163,2003,Thornlie Station,4700,6110,PROVIDENCE CHRISTIAN COLLEGE,2.132143189,38
14 Bodicoat Drive,Brookdale,336000,3,1,1,754,132,1991,Armadale Station,1600,6112,DALE CHRISTIAN SCHOOL,0.826145236,
14 Bollinger Close,The Vines,560000,4,2,2,715,220,1999,Midland Station,15200,6069,HOLY CROSS COLLEGE,3.745777621,98
14 Bone Street,St James,760000,4,2,NULL,515,195,2004,Welshpool Station,1700,6102,CANNING COLLEGE,1.303229712,
14 Bonville Glen,Jandakot,705000,4,2,2,566,276,NULL,Murdoch Station,3700,6164,LAKELAND SENIOR HIGH SCHOOL,1.16244863,
14 Boona Court,Karawara,305000,3,1,2,299,85,1975,Canning Bridge Station,2400,6152,CLONTARF ABORIGINAL COLLEGE,1.198121145,
14 Boorabilla Way,Greenmount,850000,4,3,2,1976,235,1975,Midland Station,5500,6056,SWAN VIEW SENIOR HIGH SCHOOL,1.592792923,
14 Bosworth Street,Hamersley,420000,3,1,1,775,117,1969,Warwick Station,1500,6022,WARWICK SENIOR HIGH SCHOOL,1.360634634,
14 Bow River Crescent,Burswood,1700000,4,2,4,391,258,2015,Burswood Station,292,6100,TRINITY COLLEGE,1.421331494,43
14 Bower grove,Two Rocks,390000,3,2,3,810,156,2002,Butler Station,18200,6037,YANCHEP SECONDARY COLLEGE,7.577524044,
14 Brahmin Glade,Stratton,399999,3,1,1,521,106,NULL,Midland Station,5000,6056,SWAN VIEW SENIOR HIGH SCHOOL,2.447100396,
14 Bramshott Approach,Butler,420000,4,2,2,544,180,NULL,Butler Station,1700,6036,BUTLER COLLEGE,0.44666715,39
14 Brentwood Road,Wattle Grove,887500,5,2,2,11686,220,1991,Madding,4700,6107,REHOBOTH CHRISTIAN COLLEGE,3.275581111,
14 Bridal Crescent,Kenwick,235000,5,2,2,680,239,1993,Kenwick Station,815,6107,COMMUNICARE ACADEMY,0.867107379,
14 Brindabella Avenue,Aubin Grove,745000,4,2,3,640,252,2007,Cockburn Central Station,4700,6164,ATWELL COLLEGE,2.587851808,129
14 Brockwell Parkway,Landsdale,302500,4,2,2,665,285,2002,Greenwood Station,7200,6065,LANDSDALE CHRISTIAN SCHOOL,0.965691317,
14 Bronzewing Street,Huntingdale,368000,3,1,1,680,109,1993,Thornlie Station,3600,6110,THORNLIE SENIOR HIGH SCHOOL,1.422187713,125
14 Brookville Circle,Secret Harbour,485000,4,2,2,608,216,2000,Warnbro Station,9000,6173,COMET BAY COLLEGE,0.99601648,35
14 Brown Crescent,Seville Grove,330000,4,2,2,680,160,NULL,Sherwood Station,1400,6112,CECIL ANDREWS COLLEGE,1.123280417,139
14 Bubara Way,Ferndale,455000,4,2,8,698,163,1976,Queens Park Station,2400,6148,FOUNTAIN COLLEGE,1.390820866,
14 Buckland Grove,Mount Helena,620000,4,2,2,2009,176,2002,Midland Station,21000,6082,EASTERN HILLS SENIOR HIGH SCHOOL,0.872569706,105
14 Buffalo Avenue,Madeley,480000,3,2,2,484,146,2009,Whitfords Station,3800,6065,THE MONTESSORI SCHOOL,1.735929729,
14 Bullockbush Road,Kelmscott,600000,5,2,2,1230,138,2000,Kelmscott Station,1800,6111,KELMSCOTT SENIOR HIGH SCHOOL,2.069745219,113
14 Bundegi Grove,Yangebup,610000,4,2,2,585,204,2005,Cockburn Central Station,5100,6164,DIVINE MERCY COLLEGE,2.047037386,
14 Burlinson Crescent,Koondoola,400000,3,1,3,712,99,NULL,Warwick Station,6200,6064,MERCY COLLEGE,0.552111067,46
14 Butterick Place,Girrawheen,365000,3,1,1,692,102,1971,Warwick Station,2800,6064,WARWICK SENIOR HIGH SCHOOL,0.985321767,
14 Callaghan Way,Noranda,720000,4,2,5,700,261,1981,Maylands Station,5800,6062,MORLEY SENIOR HIGH SCHOOL,0.325253771,100
14 Callan Road,Floreat,1701000,3,2,2,850,240,1957,Claremont Station,5300,6014,NEWMAN COLLEGE,1.224047631,44
14 Cambria Street,Kallaroo,560000,4,1,2,685,134,2000,Edgewater Station,2600,6025,BELRIDGE SECONDARY COLLEGE,1.818443792,102
14 Cambridge Crescent,Cooloongup,300000,3,1,2,706,138,1977,Rockingham Station,1200,6168,SAFETY BAY SENIOR HIGH SCHOOL,1.174323134,136
14 Campaspe Drive,Success,615000,4,2,NULL,554,228,2007,Cockburn Central Station,3400,6164,ATWELL COLLEGE,2.192943075,129
14 Camphora Mews,Helena Valley,460000,3,2,2,640,173,1995,Midland Station,4100,6056,YOUTH FUTURES COMMUNITY SCHOOL,3.633286145,
14 Campus Way,Churchlands,1080000,4,2,2,320,161,2012,Glendalough Station,3000,6018,NEWMAN COLLEGE,0.614700971,44
14 Carbine Drive,Wattle Grove,585000,4,2,2,577,294,NULL,Madding,4900,6107,REHOBOTH CHRISTIAN COLLEGE,3.02847616,
14 Cardiff Place,Warnbro,950000,5,3,5,791,300,2006,Warnbro Station,3100,6169,LIVING WATERS LUTHERAN COLLEGE,0.962467074,51
14 Carlton Loop,Canning Vale,560000,3,2,2,420,205,2008,Thornlie Station,5700,6155,CANNING VALE COLLEGE,0.904356085,68
14 Castanet Drive,Madeley,550000,5,2,2,540,216,2008,Whitfords Station,4500,6065,KINGSWAY CHRISTIAN COLLEGE,1.144767977,50
14 Castleton Way,Canning Vale,558000,4,2,NULL,600,225,1996,Thornlie Station,5100,6155,CANNING VALE COLLEGE,0.594168452,68
14 Catenary Court,Mullaloo,485000,3,1,2,772,152,1982,Edgewater Station,2500,6027,BELRIDGE SECONDARY COLLEGE,1.43508964,102
14 Cavender Street,Singleton,330000,4,2,2,800,134,2001,Mandurah Station,8500,6175,MANDURAH BAPTIST COLLEGE,3.051206684,109
14 Cayman Place,Kenwick,430000,4,2,2,587,181,2000,Kenwick Station,624,6107,REHOBOTH CHRISTIAN COLLEGE,0.322458838,
14 Cedar Place,Woodlands,1145000,4,2,2,723,175,1968,Stirling Station,2200,6018,CHURCHLANDS SENIOR HIGH SCHOOL,0.729573114,22
14 Celosia Way,Riverton,658000,4,2,2,948,227,1974,Thornlie Station,3900,6148,FOUNTAIN COLLEGE,0.74138501,
14 Cerulean Road,Karnup,190000,3,1,NULL,405,160,2015,Mandurah Station,9200,6176,COMET BAY COLLEGE,3.316722038,35
14 Chamberlain Place,Heathridge,435000,3,1,1,869,113,1987,Joondalup Station,2100,6027,OCEAN REEF SENIOR HIGH SCHOOL,1.301900278,83
14 Champion Drive,Bertram,290000,4,2,2,350,143,2012,Kwinana Station,1400,6167,THE KING'S COLLEGE,1.008227931,
14 Chapman Road,Calista,352500,3,1,1,961,121,NULL,Wellard Station,1700,6167,PETER CARNLEY ANGLICAN COMMUNITY SCHOOL,0.91773027,
14 Charm Way,Atwell,541000,4,2,2,576,209,2002,Cockburn Central Station,2100,6164,ATWELL COLLEGE,0.319594681,129
14 Chatham Road,Woodbridge,560000,3,1,1,980,217,2015,Woodbridge Station,360,6056,GOVERNOR STIRLING SENIOR HIGH SCHOOL,0.779393871,130
14 Chiba Retreat,Merriwa,355000,3,2,2,618,144,2002,Butler Station,3300,6030,ALKIMOS BAPTIST COLLEGE,0.499346515,
14 Chieftain Street,Bertram,366000,4,2,4,616,190,2001,Kwinana Station,1700,6167,THE KING'S COLLEGE,0.510222757,
14 Chingford Way,Butler,269000,3,2,2,240,111,2015,Butler Station,515,6036,BUTLER COLLEGE,2.092343945,39
14 Chittawarra Court,Glen Forrest,515000,4,2,1,1914,167,1988,Midland Station,8900,6071,HELENA COLLEGE,0.64985212,78
14 Choseley Place,Langford,220000,3,1,1,558,110,1989,Thornlie Station,1200,6147,LANGFORD ISLAMIC COLLEGE,0.597667935,85
14 Citrus Loop,South Lake,390000,3,2,1,365,104,1998,Cockburn Central Station,3400,6164,LAKELAND SENIOR HIGH SCHOOL,1.475104697,
14 Claret Ash Court,Helena Valley,540000,4,1,NULL,1001,217,1994,Midland Station,3500,6056,YOUTH FUTURES COMMUNITY SCHOOL,3.074333811,
14 Clarinda Avenue,Orelia,241000,3,1,1,684,122,1971,Kwinana Station,1800,6167,GILMORE COLLEGE,0.938796527,138
14 Clianthus Way,Koongamia,365000,3,1,1,655,90,1960,Midland Station,4700,6056,SWAN VIEW SENIOR HIGH SCHOOL,2.430378471,
14 Clonmel Mews,Waterford,860000,4,3,2,591,210,1998,Canning Bridge Station,3400,6152,CLONTARF ABORIGINAL COLLEGE,0.262447113,
14 Clydesdale Street,Burswood,995000,5,2,4,1026,231,1935,Vic,324,6100,URSULA FRAYNE CATHOLIC COLLEGE,0.383476027,41
14 Coleman Crescent,Melville,597000,3,1,1,484,138,1960,North Fremantle Station,4400,6156,MELVILLE SENIOR HIGH SCHOOL,1.004842126,61
14 Coleridge Place,North Lake,750000,4,3,3,735,230,1987,Murdoch Station,3400,6163,NORTH LAKE SENIOR CAMPUS,1.089355013,
